|||||positivo|funcionamiento|tienda
1.53252168857068E+018|1654216618088|se2condpilot|RT @IvanNavaMx: Amigos si nos ayudan con 5 boletos de esta rifa por favor Huawei P30 Pro de 256 GB Negro $400  Con esto avanzamos un poco c…|82|0|0|0
1.53252219974727E+018|1654216739962|YanezMarro|RT @world_channeltv: Gana seguidores sigue los LIKES y RTS. ???  ??Televisión GRATIS desde tu celular World Channel TV te permite ver telev…|2269|0|0|0
1.53252386207997E+018|1654217136293|ferpalomo_|El cargador de mi Huawei band ya no funciona y me acaba de aparecer un anuncio de una nueva band #AUXILIO|299|0|1|0
1.53252408183211E+018|1654217188686|IvanNavaMx|No vendimos nada ?|29160|0|0|1
1.5325244041644E+018|1654217265536|dpr9719|RT @HuaweiLatam: ¡Atención, estudiantes chilenos! Explora las tecnologías del futuro en #SeedsForTheFuture #Chile. En #Huawei buscamos pote…|6|0|0|0
1.53252450118691E+018|1654217288668|priscotorresq|@SkyAlertMx SU APP NO ABRE EN UN CEL HUAWEI P30|115|0|1|0
1.53252461593481E+018|1654217316026|Francis46739583|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|255|0|0|0
1.5325254151175E+018|1654217506566|elviktorHD|@tiotsnews @TioTrasherk Ami en mi huawei p30 lite antes me salia el juego en pre registro pero ahora cuando busco e… https://t.co/UiEue5EZ42|25|0|1|0
1.5325255445663E+018|1654217537429|jeonteete|@jikooksidios estoy desde el Huawei|134|0|0|0
1.53252663189777E+018|1654217796669|israzen|RT @IvanNavaMx: No vendimos nada ?|130|0|0|1
1.53252717663696E+018|1654217926545|arroyosilvy73|RT @IvanNavaMx: No vendimos nada ?|912|0|0|1
1.5325274209595E+018|1654217984796|gabylolis|RT @IvanNavaMx: No vendimos nada ?|3165|0|0|1
1.53252748913372E+018|1654218001050|t3maglat|#Huawei anunció el día de hoy la #HuaweiBand7 aquí sus especificaciones, precio y disponibilidad.  https://t.co/s7MwuTPYLA|161|0|0|0
1.53252834753589E+018|1654218205709|melissasoro|odio la cámara de mi laptop. Maldeeta sea Huawei.|2168|0|1|0
1.53252916305528E+018|1654218400144|CarlosDLuna1|RT @Nan_Arboleda21: El lunes festivo intentaron hackearme la cuenta de Instagram desde un dispositivo Huawei en Barranquilla. Sólo hasta ho…|791|0|0|0
1.53253075170664E+018|1654218778908|HuaweiMobileMx|@RaulLopAre @Huawei @HuaweiEnt Gracias por contactar a Huawei, Raul. Con gusto te apoyamos, puedes hacer tu consult… https://t.co/mDaZ6auZ9g|197899|0|0|0
1.53253277725768E+018|1654219261837|pvvlossless|Me gustaba más mi teléfono Huawei que Samsung ? hasta la batería encuentro que le dura más ??|3682|1|1|0
1.53253354735287E+018|1654219445442|ValerieDiazV|#HUAWEISmartOffice #HUAWEIPixLabX1 Contactless Pairing - HUAWEI PixLab X1 @HUAWEI   https://t.co/1eu9dcel0Z a través de @YouTube|89|0|0|0
1.53253415846715E+018|1654219591143|Dy_Co_Ec|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|972|0|0|0
1.5325344330934E+018|1654219656619|ValerieDiazV|Cultivating a Digital Future at WHEC2022 https://t.co/af8iNS3xZL a través de @YouTube @HUAWEI|89|0|0|0
1.53253488044109E+018|1654219763275|Monioc3|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|1041|0|0|0
1.53253504557084E+018|1654219802645|dpl_news|¿Cómo llega @Huawei a ser líder en patentes en el mundo? ? El fabricante chino sigue en los primeros puestos de ran… https://t.co/yIZfRt6qwJ|14391|1|1|0
1.5325374668587E+018|1654220379925|DeivRmxNet|RT @memop_meza: En redes se impulsó el hastag #huaweinocumple para impulsar la queja en contra de la empresa tecnológica ? https://t.co/CLz…|29|0|0|1
1.53253749179379E+018|1654220385870|DeivRmxNet|RT @OnderIsaac: @Profeco Tio @Profeco seguimos en espera de su posicionamiento y de @SheffieldGto   mas de  200 consumidores, engañados por…|29|0|0|1
1.5325389861572E+018|1654220742154|No_tengo_ganas|Se me actualizo el software del celular y ahora la bateria muere en el dia la puta que te parió Samsung, volvé huawei|74|1|1|0
1.53253956138091E+018|1654220879298|gilcuate|RT @IvanNavaMx: No vendimos nada ?|20|0|0|1
1.53254198786538E+018|1654221457817|UnAmigoOk|@HoplitaLiberal Lo compre para regalar, yo seguiré con mi huawei mate 10 lite , una maquina..|4885|1|1|0
1.53254247684139E+018|1654221574398|L7Fgarcia69|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|353|0|0|0
1.53254335604315E+018|1654221784016|RulesBenitez|El 25 de mayo, #Huawei invitó a los socios de ecosistema a llevar a cabo el foro de capacidades de solución y el fo… https://t.co/rABWNXTaBI|77138|0|0|0
1.53254350005038E+018|1654221818350|nose_1230|RT @IvanNavaMx: No vendimos nada ?|127|0|0|1
1.53254379428081E+018|1654221888500|Unidoscambio021|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|527|0|0|0
1.53254429271092E+018|1654222007335|pretoyepez|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|988|1|1|0
1.53254593681098E+018|1654222399319|ahsrim13|RT @IvanNavaMx: No vendimos nada ?|635|0|0|0
1.53254757771067E+018|1654222790540|O1CHIVAS13|RT @Kernelyoutube: Huawei enjoy 50 revelado todo su diseño El Huawei Enjoy 50  será el  próximo lanzamiento de la marca china. ya lo habiam…|119|0|0|0
1.53254937888762E+018|1654223219974|MirshaCarbajal1|@XiaomiMexico algún número pera comunicarse con uds? O es más fácil con Huawei y Apple?|35|0|0|1
1.53254958945846E+018|1654223270178|SoyAndresAm|Se me mojo el cel y ya me estaba comunicando con @HuaweiMobileMx para que le dieran mantenimiento, la bocina se esc… https://t.co/4okPZCuJym|224|0|0|1
1.53255111529174E+018|1654223633965|patoedg|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|1695|0|0|0
1.53255242355387E+018|1654223945879|jesus_cxc|@HuaweiLatam  Buenas noches  Hace poco más de un mes compré un monitor Huawei GT de 34 pulgadas directamente con la… https://t.co/VylB1xDvaw|14|1|1|0
1.53255322648207E+018|1654224137312|jesus_cxc|@HuaweiLatam He tenido una muy mala experiencia con su centro de atención a clientes y garantía, no recomiendo que… https://t.co/pNv38JoVd7|14|0|0|0
1.5325535801332E+018|1654224221629|silbercom2|RT @HuaweiMobileMx: @Armandorms_ @SheffieldGto @Profeco @RdelConsumidor @HuaweiLatam Hola Armando Ramos, gracias por comunicarte a Huawei S…|1|0|0|0
1.53255372049548E+018|1654224255094|pproano63|RT @revistavistazo: (P) En un encuentro en Quito, #Olade y #Huawei oficializaron su compromiso de impulsar la transición energética limpia…|95|0|0|0
1.53255526001471E+018|1654224622144|star___space|@ecrikey Ay a mi me funciona de maravilla ajsjs :( es  un huawei eso siii, pero para cosas tipicas onda estudio, ju… https://t.co/6YMpIoQVMh|1118|0|0|1
1.53255542256092E+018|1654224660898|henrymp_|Samsung, Xiaomi, Apple o Huawei: cuál es el celular más y menos demandado en Perú y por qué https://t.co/6d96rPglaq a través de @Gestionpe|1013|0|0|1
1.53255587844402E+018|1654224769589|Panama24horas|HUAWEI prepara la llegada a Panamá de su nuevo smartphone insignia HUAWEI P50 Pro https://t.co/hGq09HcBYg|3652|0|0|1
1.53255676404614E+018|1654224980733|iqidiana|RT @IvanNavaMx: No vendimos nada ?|49|0|0|0
1.53255729759516E+018|1654225107941|silbercom2|RT @elsoldepuebla1: Los afectados impulsaron el hashtag #HuaweiNoCumple y señalan que no se realizó ninguna devolución tras la cancelación.…|1|0|0|1
1.53255748501764E+018|1654225152626|silbercom2|RT @memop_meza: En redes se impulsó el hastag #huaweinocumple para impulsar la queja en contra de la empresa tecnológica ? https://t.co/CLz…|1|0|0|1
1.53255755041103E+018|1654225168217|silbercom2|RT @OnderIsaac: @Profeco Tio @Profeco seguimos en espera de su posicionamiento y de @SheffieldGto   mas de  200 consumidores, engañados por…|1|0|0|0
1.53255769738364E+018|1654225203258|xataka|Huawei quiere ir más allá del consumo y Asseco le ayudará a dar el salto a la oficina #Ofrecidopor @assecoESP… https://t.co/3UPjjM6lrD|1460940|0|0|1
1.53255784314819E+018|1654225238011|silbercom2|RT @OnderIsaac: @gabmex_contacto @Profeco @SheffieldGto Tio @Profeco seguimos en espera de su posicionamiento y de @SheffieldGto   mas de…|1|0|0|0
1.53255796188903E+018|1654225266321|silbercom2|RT @Jorge_ASosa: Aún estás a tiempo de arreglar esto, antes que se haga más grande @HuaweiMobileMx #HuaweiNoCumple|1|0|0|0
1.53256207573789E+018|1654226247139|JORGINH26012277|@catadoraoficia1 EL XIAOMI ES BUEN CEL Y TIENE BUENA CAMARA O IGUAL LOS S10 PLUS D SAMSUNG O BUSCATE EL HUAWEI P40 PRO|51|0|0|0
1.53256210966981E+018|1654226255229|radiosss|RT @El_Universal_Mx: ? ¿Y ahora se echan para atrás? https://t.co/7n6PfLEdkJ|133|0|0|0
